Wellbore name;Year;Month;Oil;Gas
15/9-F-1 C;2014;4;11.142;1.597.937
15/9-F-1 C;2014;5;24.902;3.496.230
15/9-F-1 C;2014;6;19.618;2.886.662
15/9-F-1 C;2014;7;15.086;2.249.366
15/9-F-1 C;2014;8;6.970;1.048.191
15/9-F-1 C;2014;9;9.168;1.414.100
15/9-F-1 C;2014;10;9.468;1.462.064
15/9-F-1 C;2014;11;6.710;1.044.188
15/9-F-1 C;2014;12;120;25.857
15/9-F-1 C;2015;1;10.876;1.604.935
15/9-F-1 C;2015;2;9.587;1.439.454
15/9-F-1 C;2015;3;5.879;856.681
15/9-F-1 C;2015;4;3.924;566.710
15/9-F-1 C;2015;5;3.833;559.060
15/9-F-1 C;2015;6;6.345;925.337
15/9-F-1 C;2015;7;2.094;315.179
15/9-F-1 C;2015;8;2.871;427.693
15/9-F-1 C;2015;9;6.460;961.548
15/9-F-1 C;2015;10;4.086;631.373
15/9-F-1 C;2015;11;3.332;508.384
15/9-F-1 C;2015;12;2.949;454.911
15/9-F-1 C;2016;1;2.981;471.676
15/9-F-1 C;2016;2;4.718;742.340
15/9-F-1 C;2016;3;2.918;476.830
15/9-F-1 C;2016;4;1.672;274.213
15/9-F-11;2013;7;3.923;590.505
15/9-F-11;2013;8;25.496;3.871.942
15/9-F-11;2013;9;23.775;3.661.574
15/9-F-11;2013;10;34.115;5.272.724
15/9-F-11;2013;11;35.386;5.413.486
15/9-F-11;2013;12;33.406;5.190.659
15/9-F-11;2014;1;34.552;5.193.353
15/9-F-11;2014;2;28.190;4.255.283
15/9-F-11;2014;3;33.291;5.039.850
15/9-F-11;2014;4;35.429;5.301.959
15/9-F-11;2014;5;34.832;4.902.619
15/9-F-11;2014;6;33.899;4.990.685
15/9-F-11;2014;7;33.760;5.035.917
15/9-F-11;2014;8;26.038;4.033.770
15/9-F-11;2014;9;33.222;5.220.329
15/9-F-11;2014;10;33.852;5.237.208
15/9-F-11;2014;11;26.612;4.153.116
15/9-F-11;2014;12;8.548;1.413.112
15/9-F-11;2015;1;29.562;4.358.979
15/9-F-11;2015;2;25.347;3.836.074
15/9-F-11;2015;3;44.316;6.516.700
15/9-F-11;2015;4;54.556;7.956.467
15/9-F-11;2015;5;55.029;8.027.510
15/9-F-11;2015;6;48.231;7.065.852
15/9-F-11;2015;7;43.785;6.508.853
15/9-F-11;2015;8;31.498;4.769.902
15/9-F-11;2015;9;31.425;4.748.110
15/9-F-11;2015;10;29.725;4.501.570
15/9-F-11;2015;11;36.410;5.558.573
15/9-F-11;2015;12;35.934;5.504.665
15/9-F-11;2016;1;31.603;4.949.941
15/9-F-11;2016;2;25.955;4.093.287
15/9-F-11;2016;3;25.024;4.032.038
15/9-F-11;2016;4;13.429;2.194.427
15/9-F-11;2016;5;15.529;2.450.714
15/9-F-11;2016;6;14.591;2.349.131
15/9-F-11;2016;7;14.385;2.309.447
15/9-F-11;2016;8;14.584;2.341.372
15/9-F-11;2016;9;8.609;1.458.816
15/9-F-12;2008;2;49.091;7.068.009
15/9-F-12;2008;3;83.361;12.191.171
15/9-F-12;2008;4;74.532;11.506.441
15/9-F-12;2008;5;125.479;19.091.872
15/9-F-12;2008;6;143.787;21.512.334
15/9-F-12;2008;7;114.995;17.116.442
15/9-F-12;2008;8;97.822;14.143.008
15/9-F-12;2008;9;77.667;11.185.944
15/9-F-12;2008;10;94.357;13.430.834
15/9-F-12;2008;11;145.916;20.837.122
15/9-F-12;2008;12;166.440;24.106.362
15/9-F-12;2009;1;153.677;22.255.224
15/9-F-12;2009;2;121.905;17.427.052
15/9-F-12;2009;3;92.959;13.123.547
15/9-F-12;2009;4;150.956;20.931.108
15/9-F-12;2009;5;141.039;19.366.853
15/9-F-12;2009;6;132.430;17.787.476
15/9-F-12;2009;7;106.105;14.721.967
15/9-F-12;2009;8;112.414;15.676.350
15/9-F-12;2009;9;90.099;12.553.422
15/9-F-12;2009;10;126.940;17.819.694
15/9-F-12;2009;11;136.016;19.181.584
15/9-F-12;2009;12;158.002;22.160.862
15/9-F-12;2010;1;149.659;21.044.604
15/9-F-12;2010;2;103.026;14.520.590
15/9-F-12;2010;3;101.572;14.278.519
15/9-F-12;2010;4;86.254;12.161.146
15/9-F-12;2010;5;77.114;10.970.381
15/9-F-12;2010;6;69.617;9.944.534
15/9-F-12;2010;7;64.040;9.283.377
15/9-F-12;2010;8;30.117;4.346.504
15/9-F-12;2010;9;51.313;7.750.211
15/9-F-12;2010;10;51.431;7.741.377
15/9-F-12;2010;11;44.468;6.747.078
15/9-F-12;2010;12;45.218;6.910.660
15/9-F-12;2011;1;44.747;6.824.001
15/9-F-12;2011;2;29.157;4.519.227
15/9-F-12;2011;3;37.395;5.760.219
15/9-F-12;2011;4;37.820;5.877.461
15/9-F-12;2011;5;37.205;5.801.740
15/9-F-12;2011;6;22.026;3.412.026
15/9-F-12;2011;7;12.462;1.823.751
15/9-F-12;2011;8;36.380;5.446.517
15/9-F-12;2011;9;29.999;4.566.407
15/9-F-12;2011;10;12.648;1.919.664
15/9-F-12;2011;11;21.789;3.242.434
15/9-F-12;2011;12;18.090;2.650.493
15/9-F-12;2012;1;18.218;2.722.573
15/9-F-12;2012;2;27.362;4.289.925
15/9-F-12;2012;3;26.680;4.276.186
15/9-F-12;2012;4;24.088;3.866.150
15/9-F-12;2012;5;22.415;3.630.958
15/9-F-12;2012;6;20.887;3.394.646
15/9-F-12;2012;7;21.207;3.444.769
15/9-F-12;2012;8;8.998;1.376.155
15/9-F-12;2012;9;1.014;156.920
15/9-F-12;2012;10;19.613;3.067.585
15/9-F-12;2012;11;19.019;3.086.440
15/9-F-12;2012;12;16.321;2.717.290
15/9-F-12;2013;1;17.409;2.881.179
15/9-F-12;2013;2;15.087;2.461.249
15/9-F-12;2013;3;6.306;1.053.666
15/9-F-12;2013;4;12.351;2.055.292
15/9-F-12;2013;5;16.313;2.757.755
15/9-F-12;2013;6;11.900;2.037.220
15/9-F-12;2013;7;11.862;1.919.702
15/9-F-12;2013;8;15.147;2.354.241
15/9-F-12;2013;9;9.224;1.446.819
15/9-F-12;2013;10;8.305;1.283.584
15/9-F-12;2013;11;7.171;1.102.962
15/9-F-12;2013;12;7.080;1.101.389
15/9-F-12;2014;1;4.997;766.196
15/9-F-12;2014;2;6.101;921.967
15/9-F-12;2014;3;6.836;1.036.071
15/9-F-12;2014;4;5.892;883.605
15/9-F-12;2014;5;3.238;469.664
15/9-F-12;2014;6;5.751;846.734
15/9-F-12;2014;7;5.792;864.046
15/9-F-12;2014;8;4.448;704.538
15/9-F-12;2014;9;5.063;803.971
15/9-F-12;2014;10;5.386;833.121
15/9-F-12;2014;11;4.495;700.998
15/9-F-12;2014;12;0;0
15/9-F-12;2015;1;25.713;3.780.459
15/9-F-12;2015;2;19.579;2.960.674
15/9-F-12;2015;3;19.341;2.853.433
15/9-F-12;2015;4;19.797;2.889.395
15/9-F-12;2015;5;16.996;2.479.620
15/9-F-12;2015;6;19.536;2.859.707
15/9-F-12;2015;7;19.157;2.846.821
15/9-F-12;2015;8;13.473;2.047.121
15/9-F-12;2015;9;12.495;1.888.049
15/9-F-12;2015;10;11.889;1.821.328
15/9-F-12;2015;11;11.369;1.748.311
15/9-F-12;2015;12;10.856;1.662.453
15/9-F-12;2016;1;9.495;1.487.340
15/9-F-12;2016;2;7.644;1.205.549
15/9-F-12;2016;3;7.360;1.185.894
15/9-F-12;2016;4;6.152;1.015.034
15/9-F-12;2016;5;5.865;925.514
15/9-F-12;2016;6;5.408;870.533
15/9-F-12;2016;7;4.534;729.319
15/9-F-12;2016;8;1.442;232.558
15/9-F-12;2016;9;0;0
15/9-F-14;2008;2;0;0
15/9-F-14;2008;3;0;0
15/9-F-14;2008;4;0;0
15/9-F-14;2008;5;0;0
15/9-F-14;2008;6;0;0
15/9-F-14;2008;7;51.285;7.538.861
15/9-F-14;2008;8;67.621;9.780.532
15/9-F-14;2008;9;114.596;16.340.515
15/9-F-14;2008;10;142.817;20.326.866
15/9-F-14;2008;11;104.410;14.906.020
15/9-F-14;2008;12;110.199;15.956.253
15/9-F-14;2009;1;115.573;16.718.455
15/9-F-14;2009;2;113.881;16.254.377
15/9-F-14;2009;3;90.644;12.702.463
15/9-F-14;2009;4;86.944;11.926.656
15/9-F-14;2009;5;116.175;15.944.549
15/9-F-14;2009;6;86.654;12.141.881
15/9-F-14;2009;7;64.872;9.127.860
15/9-F-14;2009;8;112.494;15.664.622
15/9-F-14;2009;9;90.350;12.564.633
15/9-F-14;2009;10;96.707;13.556.585
15/9-F-14;2009;11;98.044;13.821.884
15/9-F-14;2009;12;89.514;12.552.908
15/9-F-14;2010;1;82.221;11.561.302
15/9-F-14;2010;2;62.093;8.751.248
15/9-F-14;2010;3;66.989;9.421.805
15/9-F-14;2010;4;73.036;10.288.470
15/9-F-14;2010;5;87.809;12.490.296
15/9-F-14;2010;6;75.310;10.756.577
15/9-F-14;2010;7;69.600;10.073.534
15/9-F-14;2010;8;38.414;5.543.252
15/9-F-14;2010;9;55.405;8.260.552
15/9-F-14;2010;10;78.755;11.853.847
15/9-F-14;2010;11;62.555;9.485.349
15/9-F-14;2010;12;63.886;9.763.160
15/9-F-14;2011;1;61.328;9.353.204
15/9-F-14;2011;2;44.066;6.830.110
15/9-F-14;2011;3;56.710;8.733.755
15/9-F-14;2011;4;51.814;8.052.243
15/9-F-14;2011;5;51.122;7.972.928
15/9-F-14;2011;6;31.195;4.835.912
15/9-F-14;2011;7;20.211;3.064.566
15/9-F-14;2011;8;49.730;7.681.608
15/9-F-14;2011;9;51.053;8.021.384
15/9-F-14;2011;10;21.807;3.406.338
15/9-F-14;2011;11;35.044;5.381.238
15/9-F-14;2011;12;34.166;5.142.970
15/9-F-14;2012;1;27.309;4.156.159
15/9-F-14;2012;2;36.798;5.598.559
15/9-F-14;2012;3;34.746;5.378.189
15/9-F-14;2012;4;36.510;5.673.230
15/9-F-14;2012;5;35.052;5.495.388
15/9-F-14;2012;6;31.666;4.980.411
15/9-F-14;2012;7;32.961;5.181.262
15/9-F-14;2012;8;12.690;1.974.234
15/9-F-14;2012;9;1.655;245.981
15/9-F-14;2012;10;33.944;5.155.058
15/9-F-14;2012;11;34.932;5.485.685
15/9-F-14;2012;12;30.123;4.854.889
15/9-F-14;2013;1;30.185;4.834.717
15/9-F-14;2013;2;26.596;4.196.332
15/9-F-14;2013;3;18.817;2.783.793
15/9-F-14;2013;4;22.875;3.676.257
15/9-F-14;2013;5;27.662;4.525.932
15/9-F-14;2013;6;22.298;3.652.743
15/9-F-14;2013;7;22.603;3.553.397
15/9-F-14;2013;8;21.667;3.259.564
15/9-F-14;2013;9;17.871;2.707.856
15/9-F-14;2013;10;18.441;2.757.135
15/9-F-14;2013;11;19.249;2.853.580
15/9-F-14;2013;12;15.496;2.330.524
15/9-F-14;2014;1;16.687;2.426.753
15/9-F-14;2014;2;14.766;2.161.272
15/9-F-14;2014;3;14.955;2.196.383
15/9-F-14;2014;4;16.572;2.398.888
15/9-F-14;2014;5;13.637;1.943.519
15/9-F-14;2014;6;13.258;1.951.326
15/9-F-14;2014;7;13.496;2.012.913
15/9-F-14;2014;8;8.444;1.333.767
15/9-F-14;2014;9;9.622;1.516.704
15/9-F-14;2014;10;10.076;1.558.794
15/9-F-14;2014;11;10.386;1.643.093
15/9-F-14;2014;12;9.665;1.601.950
15/9-F-14;2015;1;9.121;1.357.133
15/9-F-14;2015;2;7.179;1.092.571
15/9-F-14;2015;3;8.069;1.195.524
15/9-F-14;2015;4;7.687;1.121.237
15/9-F-14;2015;5;7.148;1.042.507
15/9-F-14;2015;6;6.070;889.056
15/9-F-14;2015;7;6.721;999.142
15/9-F-14;2015;8;4.876;737.505
15/9-F-14;2015;9;5.300;799.235
15/9-F-14;2015;10;5.635;863.230
15/9-F-14;2015;11;5.432;835.108
15/9-F-14;2015;12;5.158;790.131
15/9-F-14;2016;1;4.606;721.124
15/9-F-14;2016;2;3.942;621.659
15/9-F-14;2016;3;3.754;604.911
15/9-F-14;2016;4;3.112;514.414
15/9-F-14;2016;5;3.213;506.857
15/9-F-14;2016;6;3.075;495.104
15/9-F-14;2016;7;1.327;215.289
15/9-F-14;2016;8;0;0
15/9-F-14;2016;9;0;0
15/9-F-15 D;2014;1;5.675;820.969
15/9-F-15 D;2014;2;7.899;1.196.184
15/9-F-15 D;2014;3;7.081;1.076.364
15/9-F-15 D;2014;4;7.163;1.074.270
15/9-F-15 D;2014;5;7.219;1.014.000
15/9-F-15 D;2014;6;7.013;1.032.224
15/9-F-15 D;2014;7;6.847;1.021.004
15/9-F-15 D;2014;8;3.475;526.611
15/9-F-15 D;2014;9;5.315;833.249
15/9-F-15 D;2014;10;5.733;886.879
15/9-F-15 D;2014;11;4.716;732.052
15/9-F-15 D;2014;12;0;0
15/9-F-15 D;2015;1;5.976;878.874
15/9-F-15 D;2015;2;4.581;696.960
15/9-F-15 D;2015;3;4.133;610.220
15/9-F-15 D;2015;4;4.260;621.371
15/9-F-15 D;2015;5;4.058;591.890
15/9-F-15 D;2015;6;3.666;537.023
15/9-F-15 D;2015;7;2.238;329.942
15/9-F-15 D;2015;8;3.578;542.286
15/9-F-15 D;2015;9;7.417;1.121.247
15/9-F-15 D;2015;10;6.347;972.414
15/9-F-15 D;2015;11;3.926;605.738
15/9-F-15 D;2015;12;4.919;751.607
15/9-F-15 D;2016;1;2.891;445.568
15/9-F-15 D;2016;2;5.109;805.795
15/9-F-15 D;2016;3;3.748;600.594
15/9-F-15 D;2016;4;4.544;751.127
15/9-F-15 D;2016;5;4.699;740.193
15/9-F-15 D;2016;6;3.464;555.536
15/9-F-15 D;2016;7;829;133.160
15/9-F-15 D;2016;8;0;0
15/9-F-15 D;2016;9;0;0
15/9-F-4;2007;9;NULL;NULL
15/9-F-4;2007;10;NULL;NULL
15/9-F-4;2007;11;NULL;NULL
15/9-F-4;2007;12;NULL;NULL
15/9-F-4;2008;1;NULL;NULL
15/9-F-4;2008;2;NULL;NULL
15/9-F-4;2008;3;NULL;NULL
15/9-F-4;2008;4;NULL;NULL
15/9-F-4;2008;5;NULL;NULL
15/9-F-4;2008;6;NULL;NULL
15/9-F-4;2008;7;NULL;NULL
15/9-F-4;2008;8;NULL;NULL
15/9-F-4;2008;9;NULL;NULL
15/9-F-4;2008;10;NULL;NULL
15/9-F-4;2008;11;NULL;NULL
15/9-F-4;2008;12;NULL;NULL
15/9-F-4;2009;1;NULL;NULL
15/9-F-4;2009;2;NULL;NULL
15/9-F-4;2009;3;NULL;NULL
15/9-F-4;2009;4;NULL;NULL
15/9-F-4;2009;5;NULL;NULL
15/9-F-4;2009;6;NULL;NULL
15/9-F-4;2009;7;NULL;NULL
15/9-F-4;2009;8;NULL;NULL
15/9-F-4;2009;9;NULL;NULL
15/9-F-4;2009;10;NULL;NULL
15/9-F-4;2009;11;NULL;NULL
15/9-F-4;2009;12;NULL;NULL
15/9-F-4;2010;1;NULL;NULL
15/9-F-4;2010;2;NULL;NULL
15/9-F-4;2010;3;NULL;NULL
15/9-F-4;2010;4;NULL;NULL
15/9-F-4;2010;5;NULL;NULL
15/9-F-4;2010;6;NULL;NULL
15/9-F-4;2010;7;NULL;NULL
15/9-F-4;2010;8;NULL;NULL
15/9-F-4;2010;9;NULL;NULL
15/9-F-4;2010;10;NULL;NULL
15/9-F-4;2010;11;NULL;NULL
15/9-F-4;2010;12;NULL;NULL
15/9-F-4;2011;1;NULL;NULL
15/9-F-4;2011;2;NULL;NULL
15/9-F-4;2011;3;NULL;NULL
15/9-F-4;2011;4;NULL;NULL
15/9-F-4;2011;5;NULL;NULL
15/9-F-4;2011;6;NULL;NULL
15/9-F-4;2011;7;NULL;NULL
15/9-F-4;2011;8;NULL;NULL
15/9-F-4;2011;9;NULL;NULL
15/9-F-4;2011;10;NULL;NULL
15/9-F-4;2011;11;NULL;NULL
15/9-F-4;2011;12;NULL;NULL
15/9-F-4;2012;1;NULL;NULL
15/9-F-4;2012;2;NULL;NULL
15/9-F-4;2012;3;NULL;NULL
15/9-F-4;2012;4;NULL;NULL
15/9-F-4;2012;5;NULL;NULL
15/9-F-4;2012;6;NULL;NULL
15/9-F-4;2012;7;NULL;NULL
15/9-F-4;2012;8;NULL;NULL
15/9-F-4;2012;9;NULL;NULL
15/9-F-4;2012;10;NULL;NULL
15/9-F-4;2012;11;NULL;NULL
15/9-F-4;2012;12;NULL;NULL
15/9-F-4;2013;1;NULL;NULL
15/9-F-4;2013;2;NULL;NULL
15/9-F-4;2013;3;NULL;NULL
15/9-F-4;2013;4;NULL;NULL
15/9-F-4;2013;5;NULL;NULL
15/9-F-4;2013;6;NULL;NULL
15/9-F-4;2013;7;NULL;NULL
15/9-F-4;2013;8;NULL;NULL
15/9-F-4;2013;9;NULL;NULL
15/9-F-4;2013;10;NULL;NULL
15/9-F-4;2013;11;NULL;NULL
15/9-F-4;2013;12;NULL;NULL
15/9-F-4;2014;1;NULL;NULL
15/9-F-4;2014;2;NULL;NULL
15/9-F-4;2014;3;NULL;NULL
15/9-F-4;2014;4;NULL;NULL
15/9-F-4;2014;5;NULL;NULL
15/9-F-4;2014;6;NULL;NULL
15/9-F-4;2014;7;NULL;NULL
15/9-F-4;2014;8;NULL;NULL
15/9-F-4;2014;9;NULL;NULL
15/9-F-4;2014;10;NULL;NULL
15/9-F-4;2014;11;NULL;NULL
15/9-F-4;2014;12;NULL;NULL
15/9-F-4;2015;1;NULL;NULL
15/9-F-4;2015;2;NULL;NULL
15/9-F-4;2015;3;NULL;NULL
15/9-F-4;2015;4;NULL;NULL
15/9-F-4;2015;5;NULL;NULL
15/9-F-4;2015;6;NULL;NULL
15/9-F-4;2015;7;NULL;NULL
15/9-F-4;2015;8;NULL;NULL
15/9-F-4;2015;9;NULL;NULL
15/9-F-4;2015;10;NULL;NULL
15/9-F-4;2015;11;NULL;NULL
15/9-F-4;2015;12;NULL;NULL
15/9-F-4;2016;1;NULL;NULL
15/9-F-4;2016;2;NULL;NULL
15/9-F-4;2016;3;NULL;NULL
15/9-F-4;2016;4;NULL;NULL
15/9-F-4;2016;5;NULL;NULL
15/9-F-4;2016;6;NULL;NULL
15/9-F-4;2016;7;NULL;NULL
15/9-F-4;2016;8;NULL;NULL
15/9-F-4;2016;9;NULL;NULL
15/9-F-4;2016;10;NULL;NULL
15/9-F-4;2016;11;NULL;NULL
15/9-F-4;2016;12;NULL;NULL
15/9-F-5;2007;9;NULL;NULL
15/9-F-5;2007;10;NULL;NULL
15/9-F-5;2007;11;NULL;NULL
15/9-F-5;2007;12;NULL;NULL
15/9-F-5;2008;1;NULL;NULL
15/9-F-5;2008;2;NULL;NULL
15/9-F-5;2008;3;NULL;NULL
15/9-F-5;2008;4;NULL;NULL
15/9-F-5;2008;5;NULL;NULL
15/9-F-5;2008;6;NULL;NULL
15/9-F-5;2008;7;NULL;NULL
15/9-F-5;2008;8;NULL;NULL
15/9-F-5;2008;9;NULL;NULL
15/9-F-5;2008;10;NULL;NULL
15/9-F-5;2008;11;NULL;NULL
15/9-F-5;2008;12;NULL;NULL
15/9-F-5;2009;1;NULL;NULL
15/9-F-5;2009;2;NULL;NULL
15/9-F-5;2009;3;NULL;NULL
15/9-F-5;2009;4;NULL;NULL
15/9-F-5;2009;5;NULL;NULL
15/9-F-5;2009;6;NULL;NULL
15/9-F-5;2009;7;NULL;NULL
15/9-F-5;2009;8;NULL;NULL
15/9-F-5;2009;9;NULL;NULL
15/9-F-5;2009;10;NULL;NULL
15/9-F-5;2009;11;NULL;NULL
15/9-F-5;2009;12;NULL;NULL
15/9-F-5;2010;1;NULL;NULL
15/9-F-5;2010;2;NULL;NULL
15/9-F-5;2010;3;NULL;NULL
15/9-F-5;2010;4;NULL;NULL
15/9-F-5;2010;5;NULL;NULL
15/9-F-5;2010;6;NULL;NULL
15/9-F-5;2010;7;NULL;NULL
15/9-F-5;2010;8;NULL;NULL
15/9-F-5;2010;9;NULL;NULL
15/9-F-5;2010;10;NULL;NULL
15/9-F-5;2010;11;NULL;NULL
15/9-F-5;2010;12;NULL;NULL
15/9-F-5;2011;1;NULL;NULL
15/9-F-5;2011;2;NULL;NULL
15/9-F-5;2011;3;NULL;NULL
15/9-F-5;2011;4;NULL;NULL
15/9-F-5;2011;5;NULL;NULL
15/9-F-5;2011;6;NULL;NULL
15/9-F-5;2011;7;NULL;NULL
15/9-F-5;2011;8;NULL;NULL
15/9-F-5;2011;9;NULL;NULL
15/9-F-5;2011;10;NULL;NULL
15/9-F-5;2011;11;NULL;NULL
15/9-F-5;2011;12;NULL;NULL
15/9-F-5;2012;1;NULL;NULL
15/9-F-5;2012;2;NULL;NULL
15/9-F-5;2012;3;NULL;NULL
15/9-F-5;2012;4;NULL;NULL
15/9-F-5;2012;5;NULL;NULL
15/9-F-5;2012;6;NULL;NULL
15/9-F-5;2012;7;NULL;NULL
15/9-F-5;2012;8;NULL;NULL
15/9-F-5;2012;9;NULL;NULL
15/9-F-5;2012;10;NULL;NULL
15/9-F-5;2012;11;NULL;NULL
15/9-F-5;2012;12;NULL;NULL
15/9-F-5;2013;1;NULL;NULL
15/9-F-5;2013;2;NULL;NULL
15/9-F-5;2013;3;NULL;NULL
15/9-F-5;2013;4;NULL;NULL
15/9-F-5;2013;5;NULL;NULL
15/9-F-5;2013;6;NULL;NULL
15/9-F-5;2013;7;NULL;NULL
15/9-F-5;2013;8;NULL;NULL
15/9-F-5;2013;9;NULL;NULL
15/9-F-5;2013;10;NULL;NULL
15/9-F-5;2013;11;NULL;NULL
15/9-F-5;2013;12;NULL;NULL
15/9-F-5;2014;1;NULL;NULL
15/9-F-5;2014;2;NULL;NULL
15/9-F-5;2014;3;NULL;NULL
15/9-F-5;2014;4;NULL;NULL
15/9-F-5;2014;5;NULL;NULL
15/9-F-5;2014;6;NULL;NULL
15/9-F-5;2014;7;NULL;NULL
15/9-F-5;2014;8;NULL;NULL
15/9-F-5;2014;9;NULL;NULL
15/9-F-5;2014;10;NULL;NULL
15/9-F-5;2014;11;NULL;NULL
15/9-F-5;2014;12;NULL;NULL
15/9-F-5;2015;1;NULL;NULL
15/9-F-5;2015;2;NULL;NULL
15/9-F-5;2015;3;NULL;NULL
15/9-F-5;2015;4;NULL;NULL
15/9-F-5;2015;5;NULL;NULL
15/9-F-5;2015;6;NULL;NULL
15/9-F-5;2015;7;NULL;NULL
15/9-F-5;2015;8;NULL;NULL
15/9-F-5;2015;9;NULL;NULL
15/9-F-5;2015;10;NULL;NULL
15/9-F-5;2015;11;NULL;NULL
15/9-F-5;2015;12;NULL;NULL
15/9-F-5;2016;1;NULL;NULL
15/9-F-5;2016;2;NULL;NULL
15/9-F-5;2016;3;NULL;NULL
15/9-F-5;2016;4;3.401;538.639
15/9-F-5;2016;5;9.724;1.534.677
15/9-F-5;2016;6;9.121;1.468.557
15/9-F-5;2016;7;9.985;1.602.674
15/9-F-5;2016;8;8.929;1.417.279
15/9-F-5;2016;9;0;0